Organisation.1,Relationship,Organisation.2
TREE AID,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
COC Nederland,receives activity funding from,Aidsfonds - Soa Aids Nederland
openmindedly,provides transaction funding to,MSI Reproductive Choices
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,International Medical Corps UK
MannionDaniels,has project implemented by,Send a Cow Uganda
Cordaid,receives activity funding from,Netherlands - Ministry of Foreign Affairs
InterAction,receives transaction funding from,Bill & Melinda Gates Foundation
International Labour Organization (ILO),receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
International Center for Transitional Justice,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
C40 Cities Climate Leadership Group,receives transaction funding from,World Resources Institute
UN Pooled Funds,is accountable to,United Nations Children's Fund (UNICEF)
World Vision Germany,receives transaction funding from,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Aidsfonds - Soa Aids Nederland,has budget/direction managed by,Rutgers
People in Need,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Netherlands Red Cross,has project implemented by,Red Cross Red Crescent Climate Centre
Belgian Development Cooperation,provides transaction funding to,Handicap International Belgique
Netherlands - Ministry of Foreign Affairs,has project implemented by,Clean Clothes Campaign
Belgian development agency (Enabel),receives activity funding from,Institute of Tropical Medicine
Agência de Desenvolvimento do Vale do Zambeze,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Belgian Development Cooperation,provides transaction funding to,Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS)
World Vision UK,receives transaction funding from,Disasters Emergency Committee
Pegasys Limited,is accountable to,The Proforest Initiative UK
Oxfam Solidarité-Solidariteit,has project implemented by,Oxfam Novib
Global Canopy,receives activity funding from,KPMG LLP
Broederlijk Delen,receives transaction funding from,Belgian Development Cooperation
Netherlands Red Cross,receives activity funding from,CARE Nederland
War Child Canada,receives transaction funding from,War Child Holland
Wageningen University & Research - Stichting Wageningen Research,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Stichting Beheer Subsidiegelden DRA,receives transaction funding from,Oxfam Novib
openmindedly,provides transaction funding to,Christian Aid
The International Rescue Committee,provides transaction funding to,ZOA
Fair Wear Foundation,provides transaction funding to,CNV Internationaal
United Nations Children's Fund (UNICEF),has project implemented by,"Gavi, the vaccine alliance"
Overseas Development Institute,receives transaction funding from,United States Agency for International Development (USAID)
MannionDaniels,has project implemented by,Transform Africa
Farm Africa,has project implemented by,LTS International Limited
Mercy Corps Europe,has project implemented by,Oxfam GB
Association de Soutien au Développement des Activités de Population,plans to provide transaction funding to,Conseil et Appui pour l'Education à la Base Mali
Kwame Nkrumah University of Science and Technology,receives activity funding from,Guttmacher Institute
Stichting Aidenvironment,receives transaction funding from,Simavi
marysmeals,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Practical Action,receives activity funding from,Food and Agriculture Organization of the United Nations (FAO)
Food for the Hungry UK,has budget/direction managed by,MannionDaniels
Simavi,provides transaction funding to,Bangladesh Nari Progati Sangha
MannionDaniels,has project implemented by,Africa Educational Trust
Overseas Development Institute,receives activity funding from,Australia - Department of  Foreign Affairs and Trade
International Labour Organization (ILO),receives activity funding from,International Fund for Agricultural Development (IFAD)
Oxfam Novib,provides transaction funding to,Stichting Vluchteling
Ethiopian Horticulture Producer Exporters Association (EHPEA),receives activity funding from,Netherlands - Ministry of Foreign Affairs
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),receives transaction funding from,Académie de recherche et d'enseignement supérieur
MSI Reproductive Choices,has project implemented by,Population Media Center
Oxfam GB,receives transaction funding from,Oxfam IBIS
Mercy Corps Europe,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
IMC WORLDWIDE,has project implemented by,"UK - Foreign, Commonwealth and Development Office"
Cordaid,has project implemented by,SPARK
Guttmacher Institute,provides transaction funding to,University Of Zimbabwe
Saferworld,has project implemented by,BRAC International
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",provides transaction funding to,University of Leeds
OCHA Country Based Pooled Funds,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Action Against Hunger UK,provides transaction funding to,ACTION AGAINST HUNGER SPAIN
The Global Alliance for Improved Nutrition,receives activity funding from,Ireland - Department of Foreign Affairs and Trade
Caritas Denmark,provides transaction funding to,Catholic Agency For Overseas Development (CAFOD)
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Womankind Worldwide
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,DanChurchAid
World Bank Trust Funds,receives activity funding from,Belgian Development Cooperation
MannionDaniels,provides transaction funding to,Stromme Foundation
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,European Commission - Neighbourhood and Enlargement Negotiations
Overseas Development Institute,receives transaction funding from,Australia - Department of  Foreign Affairs and Trade
MannionDaniels,has project implemented by,"Medical Research Centre (MRC), Sierra Leone"
CARE International in Zimbabwe,receives activity funding from,World Vision UK
Stichting Onderzoek Multinationale Ondernemingen (SOMO),receives transaction funding from,Oxfam Novib
British Council,has project implemented by,ACTED
Catholic Relief Services,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
GPPAC Foundation,provides transaction funding to,World Federalist Movement - Institute for Global Policy
ECDPM,receives activity funding from,Ecorys Nederland B.V.
Malaria Consortium,receives activity funding from,United States Agency for International Development (USAID)
British Council,has project implemented by,Global Action Nepal
MannionDaniels,provides transaction funding to,Hope for Children
MannionDaniels,has project implemented by,Lively Minds
Northern Network for Education Development,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
CGIAR,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
British Council,has project implemented by,"Namati, Inc"
International Development Law Organization (IDLO),receives activity funding from,Search for Common Ground (SFCG)
Practical Action,receives activity funding from,United Nations Industrial Development Organization (UNIDO)
Dorcas Aid International,has project implemented by,SOS Children's Villages The Netherlands
United Nations Capital Development Fund,receives activity funding from,United Nations Development Programme (UNDP)
Charity Projects Ltd (Comic Relief),provides transaction funding to,Power International
IUCN Nederlands Comité,receives activity funding from,Netherlands - Ministry of Foreign Affairs
KPMG East Africa,provides transaction funding to,Christian Blind Mission (UK) Ltd.
PwC,provides transaction funding to,D. Capital Partners
Malaria Consortium,receives activity funding from,Population Service International
Action Against Hunger UK,has budget/direction managed by,United Nations Office for Project Services (UNOPS)
Oxfam Novib,has project implemented by,CARE Nederland
Mercy Corps Netherlands,receives transaction funding from,The International Rescue Committee
MannionDaniels,provides transaction funding to,International Rescue Committee UK
Unicef Belgium National Committee,receives transaction funding from,Belgian Development Cooperation
"Sweden, through Swedish International Development Cooperation Agency (Sida)",is accountable to,Adaptation Fund
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,The Asia Foundation
MannionDaniels,has project implemented by,Homeless International
"Sweden, through Swedish International Development Cooperation Agency (Sida)",is accountable to,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
United Nations Children's Fund (UNICEF),receives activity funding from,Ministère de l'Economie et des Finances du Bénin
Sonke Gender Justice,receives activity funding from,Rutgers
The National Association of Municipalities of Benin (ANCB),has project implemented by,Commune de Adjohoun - Bénin
Netherlands Organisation for Scientific Research (NWO),receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Belgian Development Cooperation,provides transaction funding to,Congodorpen vzw
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",provides transaction funding to,University of Birmingham
Wellfound,has budget/direction managed by,MannionDaniels
Family Counseling and Development Foundation,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Giro555 (Stichting Samenwerkende Hulporganisaties),receives activity funding from,Netherlands - Ministry of Foreign Affairs
HelpAge International,receives activity funding from,Concern Worldwide
Danish Refugee Council,receives activity funding from,United Nations Children's Fund (UNICEF)
Terre des hommes- Aide à l'enfance dans le monde- Fondation,receives activity funding from,Institute of Development Studies
Oxfam Novib,provides transaction funding to,Trocaire
Amref Flying Doctors,has project implemented by,Stichting Aidenvironment
International Center for Not-for-Profit Law,receives activity funding from,Article19
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Agency for Cooperation and Research in Development (ACORD)
Leonard Cheshire Disability,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Joshua Orphan and Community Care,receives transaction funding from,MannionDaniels
International Organization for Migration (IOM),receives activity funding from,Ireland - Department of Foreign Affairs and Trade
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Action Against Hunger UK
Voluntary Service Overseas (VSO),receives transaction funding from,Palladium International Ltd (UK)
British Red Cross,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Malaria Consortium,receives transaction funding from,Abt Associates Inc
BasicNeeds,receives activity funding from,MannionDaniels
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Stichting Health Action International
Dorcas Aid International,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Child.org,has budget/direction managed by,MannionDaniels
Christian Blind Mission (UK) Ltd.,is accountable to,Concern Worldwide
Education Development Trust,provides transaction funding to,Kesho Kenya
ACODEV,has project implemented by,Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking)
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,TEAR fund Nederland
Young Africa International HUB,has project implemented by,Frontline AIDS
The International Rescue Committee,receives transaction funding from,Crown Agents Limited
Concern Worldwide UK,receives activity funding from,Action Against Hunger USA
Norwegian Refugee Council,receives activity funding from,International Rescue Committee UK
The National Association of Municipalities of Benin (ANCB),provides transaction funding to,Commune de Klouékanmè - Bénin
CARE International UK,receives transaction funding from,Disasters Emergency Committee
Trianglen,is accountable to,Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal)
MSI Reproductive Choices,has project implemented by,Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos
The Global Alliance for Improved Nutrition,receives activity funding from,"IDH, the Sustainable Trade Initiative"
Concern Worldwide UK,receives transaction funding from,People in Need
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,International Committee of the Red Cross (ICRC)
Coffey International Development,has project implemented by,World Resources Institute
Louvain Coopération,has project implemented by,Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL
Aqua for All,has budget/direction managed by,Akvo Foundation
HelpAge International,receives activity funding from,The International Rescue Committee
MSI Reproductive Choices,receives activity funding from,The International Rescue Committee
Save the Children Netherlands,receives activity funding from,CARE Nederland
Advance Consulting,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Netherlands - Ministry of Foreign Affairs,has project implemented by,Amnesty International The Netherlands
The National Association of Municipalities of Benin (ANCB),receives activity funding from,Ministère de l'Economie et des Finances du Bénin
LTS International Limited,has project implemented by,Climate Policy Initiative
Plan International Netherlands,receives activity funding from,Simavi
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),receives activity funding from,European Commission - Neighbourhood and Enlargement Negotiations
Disasters Emergency Committee,provides transaction funding to,Plan International UK
Cordaid,receives activity funding from,Oxfam Novib
ODI Sales Limited,receives activity funding from,DAI Europe
UK - Department of Health and Social Care (DHSC),has project implemented by,Save the Children UK
Netherlands - Ministry of Foreign Affairs,has project implemented by,Aidsfonds - Soa Aids Nederland
MannionDaniels,provides transaction funding to,marysmeals
World Vision International,receives activity funding from,World Vision Netherlands
"UK - Foreign, Commonwealth and Development Office",has project implemented by,The University of Manchester
Christian Aid,receives activity funding from,United States Agency for International Development (USAID)
Media Development Investment Fund,has project implemented by,BBC Media Action
Amref Health Africa - UK,has project implemented by,Amref Health Africa in Tanzania
Centre Tricontinental - CETRI,receives activity funding from,Belgian Development Cooperation
Kadaster International,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
World Vision Netherlands,receives transaction funding from,Stichting Beheer Subsidiegelden DRA
Malaria Consortium,has project implemented by,Clinton Health Access Initiative
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,Clinton Health Access Initiative
ZOA,has project implemented by,Oxfam Novib
Netherlands Institute for Multiparty Democracy (NIMD),provides transaction funding to,AWEPA
International Labour Organization (ILO),receives activity funding from,Netherlands - Ministry of Foreign Affairs
World Vision Germany,receives activity funding from,United Nations High Commissioner for Refugees (UNHCR)
EngenderHealth Ethiopia,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
OCHA Country Based Pooled Funds,receives activity funding from,Ministry of Foreign Affairs of  Japan
IRC,provides transaction funding to,Simavi
Trocaire,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
ActionAid Rwanda,has budget/direction managed by,ActionAid UK
The International Rescue Committee,receives transaction funding from,Stichting Vluchteling
SOS Children's Villages The Netherlands,receives transaction funding from,Stichting Beheer Subsidiegelden DRA
Switzerland - Swiss Agency for Development and Cooperation (SDC),has project implemented by,United Nations Capital Development Fund
Aidsfonds - Soa Aids Nederland,provides transaction funding to,Global Network of Sex Work Projects (NSWP)
Concern Worldwide UK,has project implemented by,Concern Worldwide
openmindedly,provides transaction funding to,Trust for Africa's Orphans
ZOA,provides transaction funding to,VNG International
Charity Projects Ltd (Comic Relief),is accountable to,Child-to-Child
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,United Nations Office for the Coordination of Humanitarian Affairs (OCHA)
MannionDaniels,has project implemented by,Womankind Worldwide
Afghanistan Public Policy Research Organization (APPRO),receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
The National Association of Municipalities of Benin (ANCB),provides transaction funding to,Commune de Parakou - Bénin
"UK - Foreign, Commonwealth and Development Office",has project implemented by,International Rescue Committee UK
Stichting Kinderpostzegels Nederland,provides transaction funding to,The Hunger Project Netherlands
ChildHope UK,receives activity funding from,Girls’ Education Challenge – Fund Manager PwC
Netherlands Enterprise Agency,has project implemented by,ICS
Christian Blind Mission (UK) Ltd.,receives activity funding from,MannionDaniels
Studio Globo,receives activity funding from,Belgian Development Cooperation
Netherlands - Ministry of Foreign Affairs,has project implemented by,Development Initiatives Poverty Research
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Social Impact Lab CIC
United Nations Development Programme (UNDP),receives transaction funding from,Bill & Melinda Gates Foundation
Royal Tropical Institute,receives transaction funding from,Plan International Netherlands
International Development Law Organization (IDLO),receives activity funding from,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
Sightsavers,has budget/direction managed by,MannionDaniels
International Union for Conservation of Nature and Natural Resources,has project implemented by,IUCN Nederlands Comité
Norwegian Refugee Council,has project implemented by,UN-Habitat
Cordaid,receives transaction funding from,SOS Children's Villages The Netherlands
PRACTICA Foundation,receives transaction funding from,Simavi
People in Need,receives activity funding from,Concern Worldwide UK
United Nations Foundation,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,Children in Crossfire
HelpAge International,receives activity funding from,KPMG East Africa
CARE International UK,provides transaction funding to,ActionAid UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Global Innovation Fund
Netherlands - Ministry of Foreign Affairs,has project implemented by,International Labour Organization (ILO)
Studio Globo,receives transaction funding from,Belgian Development Cooperation
Red Cross Red Crescent Climate Centre,receives activity funding from,Netherlands Red Cross
Action Against Hunger UK,has budget/direction managed by,Norwegian Refugee Council
Practical Action,receives activity funding from,SNV Netherlands Development Organisation
War Child Holland,receives transaction funding from,United Nations Office for the Coordination of Humanitarian Affairs (OCHA)
"WO=MEN, Dutch Gender Platform",receives activity funding from,Mama Cash
Irise International,receives transaction funding from,MannionDaniels
The Open University,is accountable to,International Planned Parenthood Federation
Publish What You Fund,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Adam Smith International
International Alert,receives transaction funding from,Agence Française de Développement
Christian Blind Mission (UK) Ltd.,is accountable to,KPMG East Africa
EMMS International,receives transaction funding from,MannionDaniels
World Bank Trust Funds,receives activity funding from,Germany - Ministry for Economic Cooperation and Development
CARE International UK,receives transaction funding from,Mercy Corps Europe
War Child Holland,has project implemented by,War Child Canada
HM Treasury,has project implemented by,The World Bank
INTOSAI Development Initiative,receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Netherlands - Ministry of Foreign Affairs,has project implemented by,Save the Children Netherlands
Sensorial Handicap Cooperation,receives transaction funding from,Belgian Development Cooperation
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Islamic Relief Worldwide
Ipas,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
People in Need,receives activity funding from,United Nations Development Programme (UNDP)
PwC,has project implemented by,The University of Manchester
Oxfam Novib,receives activity funding from,United Nations Children's Fund (UNICEF)
openmindedly,provides transaction funding to,HelpAge International UK
Action Against Hunger USA,is accountable to,Action Against Hunger UK
Red Cross Red Crescent Climate Centre,receives transaction funding from,Netherlands Red Cross
Johns Hopkins University,is accountable to,Guttmacher Institute
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Oxfam India
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,AIDSPAN
Mwatana for Human Rights,receives activity funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,Samaritan's Purse UK
Liverpool School of Tropical Medicine,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Coffey International Development,receives activity funding from,WYG International B.V.
Institute of Development Studies,receives activity funding from,Sightsavers
Stichting Beheer Subsidiegelden DRA,receives transaction funding from,World Vision Netherlands
MannionDaniels,provides transaction funding to,mothers2mothers
Stichting Red een Kind,receives activity funding from,Save the Children Netherlands
MannionDaniels,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Cordaid,has project implemented by,InterAction's NGO Aid Map
International Organization for Migration (IOM),receives transaction funding from,Oxfam Novib
Ministère de l'Economie et des Finances du Bénin,provides transaction funding to,Commune de Toviklin - Bénin
UN Pooled Funds,provides transaction funding to,International Organization for Migration (IOM)
Dorcas Aid International,receives transaction funding from,Oxfam Novib
Oxford Policy Management,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
CARE International UK,has project implemented by,Mercy Corps Europe
Stichting Vluchteling,receives activity funding from,Plan International Netherlands
Overseas Development Institute,receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
PwC,provides transaction funding to,BBC Media Action
MannionDaniels,has project implemented by,Find Your Feet
COC Nederland,receives transaction funding from,Aidsfonds - Soa Aids Nederland
MannionDaniels,has project implemented by,inHive
War Child Holland,receives activity funding from,OCHA Country Based Pooled Funds
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Germany - Ministry for Economic Cooperation and Development
MannionDaniels,has project implemented by,World Wide Fund for Nature - Pakistan
World Bank Trust Funds,receives activity funding from,United Nations Population Fund
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",plans to provide transaction funding to,University of Leeds
Coffey International Development,receives transaction funding from,WYG International B.V.
Akvo Foundation,receives activity funding from,Amref Flying Doctors
Both ENDS,has project implemented by,Stichting Onderzoek Multinationale Ondernemingen (SOMO)
MannionDaniels,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Tearfund,receives transaction funding from,MannionDaniels
Friends of the Earth International,receives activity funding from,Milieudefensie
IMC WORLDWIDE,provides transaction funding to,Landell Mills
United Nations Development Programme (UNDP),receives activity funding from,Canada - Global Affairs Canada | Affaires mondiales Canada
The International Rescue Committee,has project implemented by,Danish Refugee Council
Education Development Trust,provides transaction funding to,Pastoralist Girls Initiative
Association for Progressive Communication,receives transaction funding from,CREA
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,BRAC International
IUCN Nederlands Comité,has project implemented by,Tropenbos International
Chemonics International Inc.,provides transaction funding to,Royal Institute of International Affairs
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,Australia - Department of  Foreign Affairs and Trade
Simavi,has project implemented by,Akvo Foundation
WASTE advisers on urban environment and development,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Plan International UK,is accountable to,Mercy Corps Europe
United Nations Children's Fund (UNICEF),receives activity funding from,Ministry of Foreign and European Affairs of the Slovak Republic
Netherlands Red Cross,receives transaction funding from,CARE Nederland
Save the Children Netherlands,provides transaction funding to,War Child Holland
UK - Department of Health and Social Care (DHSC),has project implemented by,Mott MacDonald Limited
Institute for War & Peace Reporting,receives activity funding from,United States
Commune de Aplahoué - Bénin,receives activity funding from,Ministère de l'Economie et des Finances du Bénin
Conseil et Appui pour l'Education à la Base Mali,provides transaction funding to,Cordaid
Caritas International (Belgium),receives activity funding from,Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW
United Nations Children's Fund (UNICEF),receives activity funding from,Slovenia - Ministry of Foreign Affairs
Options Consultancy Services,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
United Nations Capital Development Fund,receives activity funding from,Norad - Norwegian Agency for Development Cooperation
Mercy Corps Netherlands,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
International IDEA,has project implemented by,Finland - Ministry for Foreign Affairs
PwC,provides transaction funding to,Adam Smith International
Kwame Nkrumah University of Science and Technology,receives transaction funding from,Guttmacher Institute
Mercy Ships UK Limited,has budget/direction managed by,MannionDaniels
War Child Holland,provides transaction funding to,World Vision Netherlands
MannionDaniels,provides transaction funding to,Bees Abroad UK
Practical Action,receives activity funding from,United States Agency for International Development (USAID)
DAI Europe,has project implemented by,"UK - Foreign, Commonwealth and Development Office"
United Nations Children's Fund (UNICEF),receives activity funding from,UN-Habitat
Ethiopian Horticulture Producer Exporters Association (EHPEA),receives transaction funding from,Netherlands - Ministry of Foreign Affairs
ADD International (Action on Disability and Development),receives activity funding from,Sightsavers
Oxfam Novib,has project implemented by,CARE International UK
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),has project implemented by,ACODEV
Promundo-US,receives transaction funding from,Rutgers
Cordaid,provides transaction funding to,ICCO Cooperation
Oxford Policy Management,has project implemented by,Triple Line
Saferworld,receives transaction funding from,MannionDaniels
Water Integrity Network Association,receives activity funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,World Horse Welfare
Data4Development,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Practical Action,receives activity funding from,Population Service International
Plan International UK,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Crown Agents Limited,provides transaction funding to,International Rescue Committee UK
SOS Children's Villages The Netherlands,provides transaction funding to,ICCO Cooperation
MannionDaniels,has project implemented by,Welbodi Partnership
International Labour Organization (ILO),receives activity funding from,United Nations Environment Programme (UNEP)
World Vision Netherlands,has project implemented by,Dorcas Aid International
Belgian Development Cooperation,provides transaction funding to,Coopération par l'Education et la Culture
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,IMC WORLDWIDE
The Open University,has project implemented by,Internews Europe
Social Development Direct Limited,is accountable to,PwC
Malaria Consortium,receives transaction funding from,United States Agency for International Development (USAID)
IMA World Health,provides transaction funding to,Pathfinder International
World Vision Netherlands,has project implemented by,Cordaid
UNITAID,provides transaction funding to,Population Service International
openmindedly,provides transaction funding to,Sense International
People in Need,receives activity funding from,France - Ministry for Europe and Foreign Affairs
Article19,plans to receive transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Mama Cash,has project implemented by,Urgent Action Fund-Africa
OpenNorth,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Scotland's International Development Alliance,receives activity funding from,Bond
SOS Children's Villages The Netherlands,has project implemented by,Dorcas Aid International
IHE Delft Institute for Water Education,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
International Development Law Organization (IDLO),receives transaction funding from,Search for Common Ground (SFCG)
Coffey International Development,has project implemented by,Danish Refugee Council
Amref Health Africa in Ethiopia,receives activity funding from,Amref Flying Doctors
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Samaritan's Purse UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,GlobalGiving.org
MSI Reproductive Choices,receives activity funding from,Netherlands - Ministry of Foreign Affairs
World Bank Trust Funds,receives activity funding from,Finland - Ministry for Foreign Affairs
The William and Flora Hewlett Foundation,provides transaction funding to,World Resources Institute
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Twaweza
SOS Children's Villages The Netherlands,has project implemented by,Cordaid
Malaria Consortium,receives transaction funding from,Population Service International
War Child Holland,receives activity funding from,Cordaid
Build Africa,has budget/direction managed by,MannionDaniels
Guttmacher Institute,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
WYG International B.V.,receives transaction funding from,Adam Smith International
Disasters Emergency Committee,provides transaction funding to,CARE International UK
Accelerator Nepal,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Simavi,provides transaction funding to,SNV Netherlands Development Organisation
Joshua Orphan and Community Care,has budget/direction managed by,MannionDaniels
Hope for Children,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Scotland's International Development Alliance,receives transaction funding from,Bond
ActionAid UK,has budget/direction managed by,ActionAid International
International Development Law Organization (IDLO),receives activity funding from,Ireland - Department of Foreign Affairs and Trade
CABI,receives activity funding from,Ireland - Department of Foreign Affairs and Trade
Oxfam Intermón,receives activity funding from,Oxfam GB
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,United Nations Foundation
Cordaid,receives activity funding from,World Vision Netherlands
Leonard Cheshire Disability,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
partos,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Nuffic,is accountable to,IHE Delft Institute for Water Education
Pegasys Limited,provides transaction funding to,Rainforest Foundation UK
CARE International UK,has budget/direction managed by,MannionDaniels
IOD PARC,receives activity funding from,Netherlands - Ministry of Foreign Affairs
UK - Department of Health and Social Care (DHSC),provides transaction funding to,Canada - International Development Research Centre/Centre de recherches pour le développement international
Miel Maya Honing asbl,receives transaction funding from,Belgian Development Cooperation
Food and Agriculture Organization of the United Nations (FAO),receives activity funding from,Caribbean Development Bank (CDB)
United Nations Development Programme (UNDP),receives activity funding from,The OPEC Fund for International Development (OFID)
Netherlands Enterprise Agency,has project implemented by,Simavi
Action Against Hunger UK,has project implemented by,International Rescue Committee UK
Christian Blind Mission (UK) Ltd.,provides transaction funding to,KPMG LLP
Saferworld,receives transaction funding from,Canada - Global Affairs Canada | Affaires mondiales Canada
The Open University,has project implemented by,ActionAid UK
UN Pooled Funds,receives transaction funding from,Finland - Ministry for Foreign Affairs
International Labour Organization (ILO),receives activity funding from,United Nations Development Programme (UNDP)
United Nations Children's Fund (UNICEF),receives activity funding from,African Development Bank
Concern Worldwide UK,receives transaction funding from,Action Against Hunger USA
ZOA,has project implemented by,World Vision Netherlands
MannionDaniels,provides transaction funding to,Feed the Minds
Girls’ Education Challenge – Fund Manager PwC,has project implemented by,Opportunity International UK
Conciliation Resources,is accountable to,Saferworld
PwC,receives transaction funding from,"UK - Department for Business, Energy and Industrial Strategy (BEIS)"
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,WaterAid
Practical Action,receives transaction funding from,MannionDaniels
Federation of Women Lawyers Kenya,receives activity funding from,United Disabled Persons of Kenya
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,United Nations Foundation
Orbis Charitable Trust,provides transaction funding to,Orbis International
Charity Projects Ltd (Comic Relief),provides transaction funding to,Trust for Africa's Orphans
Bond,has project implemented by,Charity Projects Ltd (Comic Relief)
MannionDaniels,has project implemented by,African Initiatives
Geneva International Centre for Humanitarian Demining,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Netherlands Enterprise Agency,has project implemented by,Ecorys Nederland B.V.
CARE International UK,receives transaction funding from,Oxfam GB
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Practical Action
World Vision Germany,receives transaction funding from,United Nations Children's Fund (UNICEF)
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Mott MacDonald Limited
